--- Page 1 (index 0) Size: 612.0x792.0 ---

--- All Horizontal Lines ---
Y=711.3 X=371.4-379.4 ''
Y=711.3 X=407.1-415.1 ''
Y=711.3 X=449.1-457.1 ''
Y=713.7 X=43.3-46.5 '•'
Y=713.7 X=52.3-65.7 'For'
Y=713.7 X=68.2-97.8 'heating'
Y=713.7 X=100.3-117.0 'only'
Y=713.7 X=119.5-134.7 'and'
Y=713.7 X=137.2-165.4 'combo'
Y=713.7 X=167.9-189.7 'units,'
Y=713.7 X=192.2-218.5 'please'
Y=713.7 X=221.0-249.7 'specify'
Y=713.7 X=252.2-264.9 'the'
Y=713.7 X=267.4-297.1 'heating'
Y=713.7 X=299.6-319.6 'type:'
Y=713.7 X=332.6-362.4 'Electric'
Y=713.7 X=381.9-398.1 'Gas'
Y=713.7 X=417.6-440.1 'Other'
Y=713.7 X=459.6-481.1 'None'
Y=772.7 X=36.0-58.2 'RECO'
Y=772.7 X=60.4-81.7 'HVAC'
Y=772.7 X=83.9-108.2 'Instant'
Y=772.7 X=110.5-136.1 'Rebate'
Y=772.7 X=138.3-169.0 'Program'
Y=772.7 X=171.2-203.4 'Incentive'
Y=772.7 X=205.6-226.0 'Claim'
Y=772.7 X=228.3-246.9 'Form'
Y=772.7 X=533.6-552.0 'Page'
Y=772.7 X=560.9-562.7 '|'
Y=772.7 X=571.6-576.0 '1'
